Dimension ID,Member Name,Classification Code,Member ID,Parent Member ID,Terminated,Member Notes,Member Correction Notes,Member Geo Attribute Keys,Member Definitions
3,Total - Age,,1,,,,,,
3,0 to 14 years,,2,1,,,,,
3,0 to 4 years,,3,2,,,,,
3,5 to 9 years,,4,2,,,,,
3,10 to 14 years,,5,2,,,,,
3,15 to 24 years,,6,1,,,,,
3,15 to 19 years,,7,6,,,,,
3,20 to 24 years,,8,6,,,,,
3,25 to 64 years,,9,1,,,,,
3,25 to 34 years,,10,9,,,,,
3,35 to 44 years,,11,9,,,,,
3,45 to 54 years,,12,9,,,,,
3,55 to 64 years,,13,9,,,,,
3,65 to 74 years,,14,1,,,,,
3,75 years and over,,15,1,,,,,
