Dimension ID,Member Name,Classification Code,Member ID,Parent Member ID,Terminated,Member Notes,Member Correction Notes,Member Geo Attribute Keys,Member Definitions
1,Canada,[11124],1,,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Newfoundland and Labrador,[10],2,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Corner Brook (CA), N.L.",[015],3,2,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Gander (CA), N.L.",[011],4,2,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Grand Falls-Windsor (CA), N.L.",[010],5,2,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"St. John's (CMA), N.L.",[001],6,2,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Prince Edward Island,[11],7,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Charlottetown (CA), P.E.I.",[105],8,7,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Summerside (CA), P.E.I.",[110],9,7,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Nova Scotia,[12],10,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Cape Breton (CA), N.S.",[225],11,10,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Halifax (CMA), N.S.",[205],12,10,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Kentville (CA), N.S.",[210],13,10,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"New Glasgow (CA), N.S.",[220],14,10,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Truro (CA), N.S.",[215],15,10,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,New Brunswick,[13],16,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Bathurst (CA), N.B.",[328],17,16,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Campbellton (CA), N.B./Que.",[330],18,16,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Campbellton (New Brunswick part) (CA), N.B.",[13330],19,18,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Campbellton (Quebec part) (CA), Que.",[24330],20,18,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Edmundston (CA), N.B.",[335],21,16,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Fredericton (CMA), N.B.",[320],22,16,,,,17;3;4;5;9;10;14;15;12;13;16;18,
