Dimension ID,Member Name,Classification Code,Member ID,Parent Member ID,Terminated,Member Notes,Member Correction Notes,Member Geo Attribute Keys,Member Definitions
4,Total - Mother tongue,,1,,,7;8,,,
4,Single responses,,2,1,,,,,
4,Official languages,,3,2,,,,,
4,English,,4,3,,,,,
4,French,,5,3,,,,,
4,Non-official languages,,6,2,,,,,
4,Indigenous languages,,7,6,,11,,,
4,Algonquian languages,,8,7,,,,,
4,Blackfoot,,9,8,,,,,
4,Cree-Innu languages,,10,8,,,,,
4,Atikamekw,,11,10,,,,,
4,Cree languages,,12,10,,,,,
4,Ililimowin (Moose Cree),,13,12,,,,,
4,Inu Ayimun (Southern East Cree),,14,12,,,,,
4,Iyiyiw-Ayimiwin (Northern East Cree),,15,12,,,,,
4,Nehinawewin (Swampy Cree),,16,12,,,,,
4,Nehiyawewin (Plains Cree),,17,12,,,,,
4,Nihithawiwin (Woods Cree),,18,12,,,,,
4,"Cree, n.o.s.",,19,12,,,,,
4,Innu (Montagnais),,20,10,,,,,
4,Naskapi,,21,10,,,,,
4,Eastern Algonquian languages,,22,8,,,,,
4,Mi'kmaq,,23,22,,,,,
4,Wolastoqewi (Malecite),,24,22,,,,,
4,Ojibway-Potawatomi languages,,25,8,,,,,
4,Anicinabemowin (Algonquin),,26,25,,,,,
4,Oji-Cree,,27,25,,,,,
4,Ojibway languages,,28,25,,,,,
4,Anishinaabemowin (Chippewa),,29,28,,,,,
4,Daawaamwin (Odawa),,30,28,,,,,
4,Saulteau (Western Ojibway),,31,28,,,,,
4,"Ojibway, n.o.s.",,32,28,,,,,
4,"Algonquian languages, n.i.e.",,33,8,,,,,
4,Athabaskan languages,,34,7,,,,,
4,Northern Athabaskan languages,,35,34,,,,,
4,Dakelh (Carrier),,36,35,,,,,
4,Dane-zaa (Beaver),,37,35,,,,,
4,"Dene, n.o.s.",,38,35,,,,,
4,Gwich'in,,39,35,,,,,
4,Slavey-Hare languages,,40,35,,,,,
4,Deh Gah Ghotie Zhatie (South Slavey),,41,40,,,,,
4,Satuotine Yati (North Slavey),,42,40,,,,,
4,"Slavey, n.o.s.",,43,40,,,,,
4,Tahltan languages,,44,35,,,,,
4,Kaska (Nahani),,45,44,,,,,
4,Tahltan,,46,44,,,,,
4,Tlicho (Dogrib),,47,35,,,,,
4,Tse'khene (Sekani),,48,35,,,,,
4,Tsilhqot'in (Chilcotin),,49,35,,,,,
4,Tsuu T'ina (Sarsi),,50,35,,,,,
4,Tutchone languages,,51,35,,,,,
4,Northern Tutchone,,52,51,,,,,
4,Southern Tutchone,,53,51,,,,,
4,"Tutchone, n.o.s.",,54,51,,,,,
4,Wetsuwet'en-Babine,,55,35,,,,,
4,Tlingit,,56,34,,,,,
4,"Athabaskan languages, n.i.e.",,57,34,,,,,
4,Haida,,58,7,,,,,
4,Inuktut (Inuit) languages,,59,7,,,,,
4,Inuinnaqtun (Inuvialuktun),,60,59,,,,,
4,Inuinnaqtun,,61,60,,,,,
4,Inuvialuktun,,62,60,,,,,
4,Inuktitut,,63,59,,,,,
4,"Inuktut (Inuit) languages, n.i.e.",,64,59,,,,,
4,Iroquoian languages,,65,7,,,,,
4,Cayuga,,66,65,,,,,
4,Mohawk,,67,65,,,,,
4,Oneida,,68,65,,,,,
4,"Iroquoian languages, n.i.e.",,69,65,,,,,
4,Ktunaxa (Kutenai),,70,7,,,,,
4,Michif,,71,7,,,,,
4,Salish languages,,72,7,,,,,
4,Halkomelem,,73,72,,,,,
4,Lillooet,,74,72,,,,,
4,Ntlakapamux (Thompson),,75,72,,,,,
4,Secwepemctsin (Shuswap),,76,72,,,,,
4,Squamish,,77,72,,,,,
4,Straits,,78,72,,,,,
4,Syilx (Okanagan),,79,72,,,,,
4,"Salish languages, n.i.e.",,80,72,,,,,
4,Siouan languages,,81,7,,,,,
4,Assiniboine,,82,81,,,,,
4,Dakota,,83,81,,,,,
4,Stoney,,84,81,,,,,
4,"Siouan languages, n.i.e.",,85,81,,,,,
4,Tsimshian languages,,86,7,,,,,
4,Gitxsan (Gitksan),,87,86,,,,,
4,Nisga'a,,88,86,,,,,
4,Tsimshian,,89,86,,,,,
4,Wakashan languages,,90,7,,,,,
4,Haisla,,91,90,,,,,
4,Heiltsuk,,92,90,,,,,
